Year,Age,Ethnic,Sex,Area,count
2018,1,3,2,9,453
2018,1,3,2,12,3
2018,1,3,2,13,201
2018,1,3,2,14,66
2018,1,3,2,15,36
2018,1,3,2,16,6
2018,1,3,2,17,18
2018,1,3,2,18,12
2018,1,3,2,99,..C
2018,1,3,2,9999,4092
2018,1,3,2,77,4092
2018,1,3,9,1,222
2018,1,3,9,2,4938
2018,1,3,9,3,558
2018,1,3,9,4,288
2018,1,3,9,5,69
2018,1,3,9,6,240
2018,1,3,9,7,60
2018,1,3,9,8,273
2018,1,3,9,9,888
2018,1,3,9,12,6
2018,1,3,9,13,447
2018,1,3,9,14,135
2018,1,3,9,15,72
2018,1,3,9,16,15
2018,1,3,9,17,36
2018,1,3,9,18,33
2018,1,3,9,99,..C
2018,1,3,9,9999,8280
2018,1,3,9,77,8280
2018,1,4,1,1,75
2018,1,4,1,2,3402
2018,1,4,1,3,411
2018,1,4,1,4,207
2018,1,4,1,5,15
2018,1,4,1,6,78
2018,1,4,1,7,60
2018,1,4,1,8,132
2018,1,4,1,9,543
2018,1,4,1,12,6
2018,1,4,1,13,540
2018,1,4,1,14,90
2018,1,4,1,15,54
2018,1,4,1,16,12
2018,1,4,1,17,36
2018,1,4,1,18,18
2018,1,4,1,99,..C
2018,1,4,1,9999,5682
2018,1,4,1,77,5682
2018,1,4,2,1,75
2018,1,4,2,2,3315
2018,1,4,2,3,390
2018,1,4,2,4,168
2018,1,4,2,5,15
2018,1,4,2,6,75
2018,1,4,2,7,51
2018,1,4,2,8,135
2018,1,4,2,9,486
2018,1,4,2,12,6
2018,1,4,2,13,582
2018,1,4,2,14,90
2018,1,4,2,15,39
2018,1,4,2,16,6
2018,1,4,2,17,30
2018,1,4,2,18,21
2018,1,4,2,99,..C
2018,1,4,2,9999,5484
2018,1,4,2,77,5484
2018,1,4,9,1,147
2018,1,4,9,2,6714
2018,1,4,9,3,804
2018,1,4,9,4,375
2018,1,4,9,5,27
2018,1,4,9,6,153
2018,1,4,9,7,114
2018,1,4,9,8,264
2018,1,4,9,9,1026
2018,1,4,9,12,12
2018,1,4,9,13,1122
2018,1,4,9,14,180
2018,1,4,9,15,93
2018,1,4,9,16,18
2018,1,4,9,17,66
2018,1,4,9,18,45
2018,1,4,9,99,..C
2018,1,4,9,9999,11166
2018,1,4,9,77,11166
2018,1,5,1,1,15
2018,1,5,1,2,315
2018,1,5,1,3,51
2018,1,5,1,4,33
2018,1,5,1,5,0
2018,1,5,1,6,15
2018,1,5,1,7,9
2018,1,5,1,8,24
2018,1,5,1,9,90
2018,1,5,1,12,3
2018,1,5,1,13,63
2018,1,5,1,14,30
2018,1,5,1,15,6
2018,1,5,1,16,3
2018,1,5,1,17,3
2018,1,5,1,18,3
2018,1,5,1,99,..C
2018,1,5,1,9999,657
2018,1,5,1,77,657
2018,1,5,2,1,9
2018,1,5,2,2,339
2018,1,5,2,3,57
2018,1,5,2,4,21
2018,1,5,2,5,3
2018,1,5,2,6,9
2018,1,5,2,7,6
2018,1,5,2,8,24
2018,1,5,2,9,90
2018,1,5,2,12,0
2018,1,5,2,13,69
2018,1,5,2,14,30
2018,1,5,2,15,0
2018,1,5,2,16,3
2018,1,5,2,17,6
2018,1,5,2,18,6
2018,1,5,2,99,..C
2018,1,5,2,9999,669
2018,1,5,2,77,669
2018,1,5,9,1,24
2018,1,5,9,2,654
2018,1,5,9,3,108
2018,1,5,9,4,51
2018,1,5,9,5,3
2018,1,5,9,6,27
2018,1,5,9,7,15
2018,1,5,9,8,48
2018,1,5,9,9,180
2018,1,5,9,12,3
2018,1,5,9,13,132
2018,1,5,9,14,60
2018,1,5,9,15,6
2018,1,5,9,16,3
2018,1,5,9,17,9
2018,1,5,9,18,9
2018,1,5,9,99,..C
2018,1,5,9,9999,1326
2018,1,5,9,77,1326
2018,1,6,1,1,12
2018,1,6,1,2,99
2018,1,6,1,3,33
2018,1,6,1,4,18
2018,1,6,1,5,0
2018,1,6,1,6,6
2018,1,6,1,7,6
2018,1,6,1,8,15
2018,1,6,1,9,33
2018,1,6,1,12,3
2018,1,6,1,13,48
2018,1,6,1,14,12
2018,1,6,1,15,9
2018,1,6,1,16,0
2018,1,6,1,17,6
2018,1,6,1,18,0
2018,1,6,1,99,..C
2018,1,6,1,9999,303
2018,1,6,1,77,303
2018,1,6,2,1,6
2018,1,6,2,2,111
2018,1,6,2,3,30
2018,1,6,2,4,21
2018,1,6,2,5,0
2018,1,6,2,6,6
2018,1,6,2,7,6
2018,1,6,2,8,15
2018,1,6,2,9,30
2018,1,6,2,12,3
2018,1,6,2,13,54
2018,1,6,2,14,9
2018,1,6,2,15,3
2018,1,6,2,16,0
2018,1,6,2,17,6
2018,1,6,2,18,0
2018,1,6,2,99,..C
2018,1,6,2,9999,306
2018,1,6,2,77,306
2018,1,6,9,1,15
2018,1,6,9,2,210
2018,1,6,9,3,63
2018,1,6,9,4,39
2018,1,6,9,5,0
2018,1,6,9,6,12
2018,1,6,9,7,15
2018,1,6,9,8,33
2018,1,6,9,9,66
2018,1,6,9,12,6
2018,1,6,9,13,105
2018,1,6,9,14,24
2018,1,6,9,15,15
2018,1,6,9,16,3
2018,1,6,9,17,9
2018,1,6,9,18,0
2018,1,6,9,99,..C
2018,1,6,9,9999,609
2018,1,6,9,77,609
2018,1,9,1,1,3
2018,1,9,1,2,0
2018,1,9,1,3,0
2018,1,9,1,4,3
2018,1,9,1,5,0
2018,1,9,1,6,0
2018,1,9,1,7,0
2018,1,9,1,8,0
2018,1,9,1,9,0
2018,1,9,1,12,0
2018,1,9,1,13,0
2018,1,9,1,14,0
2018,1,9,1,15,0
2018,1,9,1,16,0
2018,1,9,1,17,0
2018,1,9,1,18,0
2018,1,9,1,99,..C
2018,1,9,1,9999,6
2018,1,9,1,77,6
2018,1,9,2,1,0
2018,1,9,2,2,3
2018,1,9,2,3,3
2018,1,9,2,4,0
2018,1,9,2,5,0
2018,1,9,2,6,0
2018,1,9,2,7,0
2018,1,9,2,8,0
2018,1,9,2,9,0
2018,1,9,2,12,0
2018,1,9,2,13,3
2018,1,9,2,14,0
2018,1,9,2,15,0
2018,1,9,2,16,0
2018,1,9,2,17,0
2018,1,9,2,18,0
2018,1,9,2,99,..C
2018,1,9,2,9999,9
2018,1,9,2,77,9
2018,1,9,9,1,3
2018,1,9,9,2,3
2018,1,9,9,3,3
2018,1,9,9,4,3
2018,1,9,9,5,0
2018,1,9,9,6,0
2018,1,9,9,7,0
2018,1,9,9,8,0
2018,1,9,9,9,0
2018,1,9,9,12,0
2018,1,9,9,13,3
2018,1,9,9,14,0
2018,1,9,9,15,0
2018,1,9,9,16,0
2018,1,9,9,17,0
2018,1,9,9,18,0
2018,1,9,9,99,..C
2018,1,9,9,9999,15
2018,1,9,9,77,15
2018,1,77,1,1,1200
2018,1,77,1,2,10440
2018,1,77,1,3,3195
2018,1,77,1,4,2097
2018,1,77,1,5,360
2018,1,77,1,6,1104
2018,1,77,1,7,774
2018,1,77,1,8,1521
2018,1,77,1,9,2949
2018,1,77,1,12,174
2018,1,77,1,13,3483
2018,1,77,1,14,1128
2018,1,77,1,15,606
2018,1,77,1,16,258
2018,1,77,1,17,270
2018,1,77,1,18,276
2018,1,77,1,99,..C
2018,1,77,1,9999,29847
2018,1,77,1,77,29841
2018,1,77,2,1,1179
2018,1,77,2,2,10053
2018,1,77,2,3,3042
2018,1,77,2,4,1929
2018,1,77,2,5,342
2018,1,77,2,6,1032
2018,1,77,2,7,696
2018,1,77,2,8,1455
2018,1,77,2,9,2841
2018,1,77,2,12,150
2018,1,77,2,13,3405
2018,1,77,2,14,1080
2018,1,77,2,15,549
2018,1,77,2,16,234
2018,1,77,2,17,252
2018,1,77,2,18,255
2018,1,77,2,99,..C
2018,1,77,2,9999,28497
2018,1,77,2,77,28491
2018,1,77,9,1,2379
2018,1,77,9,2,20496
2018,1,77,9,3,6237
2018,1,77,9,4,4026
2018,1,77,9,5,705
2018,1,77,9,6,2136
2018,1,77,9,7,1470
2018,1,77,9,8,2979
2018,1,77,9,9,5790
2018,1,77,9,12,321
2018,1,77,9,13,6888
2018,1,77,9,14,2211
2018,1,77,9,15,1155
2018,1,77,9,16,495
2018,1,77,9,17,519
2018,1,77,9,18,531
2018,1,77,9,99,6
2018,1,77,9,9999,58341
2018,1,77,9,77,58335
2018,1,9999,1,1,1203
2018,1,9999,1,2,10440
2018,1,9999,1,3,3198
2018,1,9999,1,4,2100
2018,1,9999,1,5,360
2018,1,9999,1,6,1104
2018,1,9999,1,7,774
2018,1,9999,1,8,1521
2018,1,9999,1,9,2949
2018,1,9999,1,12,174
2018,1,9999,1,13,3480
2018,1,9999,1,14,1131
2018,1,9999,1,15,606
2018,1,9999,1,16,258
2018,1,9999,1,17,270
2018,1,9999,1,18,276
2018,1,9999,1,99,6
2018,1,9999,1,9999,29853
2018,1,9999,1,77,29850
2018,1,9999,2,1,1179
2018,1,9999,2,2,10056
2018,1,9999,2,3,3045
2018,1,9999,2,4,1929
2018,1,9999,2,5,342
2018,1,9999,2,6,1032
2018,1,9999,2,7,696
2018,1,9999,2,8,1455
2018,1,9999,2,9,2844
2018,1,9999,2,12,150
2018,1,9999,2,13,3405
2018,1,9999,2,14,1080
2018,1,9999,2,15,549
2018,1,9999,2,16,234
2018,1,9999,2,17,252
2018,1,9999,2,18,255
2018,1,9999,2,99,3
2018,1,9999,2,9999,28503
2018,1,9999,2,77,28503
2018,1,9999,9,1,2379
